epoch,train_loss,train_recall,train_accuracy,test_loss,test_recall,test_accuracy
273,1.4989371,0.9996,0.99978,1.5936877,0.709,0.8777
274,1.4946667,1.0,0.99984,1.5879778,0.782,0.884
275,1.4898713,1.0,0.9999,1.5865631,0.783,0.8806
276,1.4917572,1.0,0.99986,1.5881947,0.711,0.8832
277,1.4908221,0.9998,0.9998,1.5845582,0.718,0.8795
278,1.4902238,1.0,0.99968,1.5862507,0.804,0.8813
279,1.4956031,1.0,0.99986,1.5913277,0.783,0.8793
280,1.4925781,0.9998,0.99988,1.5873537,0.693,0.8807
281,1.4867741,0.9998,0.9997,1.5828832,0.77,0.8778
282,1.4906366,0.9996,0.99958,1.5881807,0.714,0.8751
283,1.4862736,0.9998,0.99984,1.5836196,0.735,0.8818
284,1.485267,1.0,0.99994,1.5816994,0.78,0.8787
285,1.486326,0.9998,0.99966,1.5831673,0.724,0.8808
286,1.4853891,1.0,0.99998,1.5807294,0.753,0.8848
287,1.5013325,0.997,0.99814,1.6010519,0.665,0.864
288,1.4836107,1.0,0.99998,1.5775713,0.768,0.8865
289,1.4929985,1.0,0.99978,1.5897286,0.783,0.8812
290,1.487444,0.9998,0.99944,1.5848572,0.794,0.879
291,1.4898566,1.0,0.99984,1.584337,0.776,0.8827
292,1.490721,1.0,0.9999,1.5858206,0.794,0.8847
293,1.4883889,1.0,1.0,1.5840123,0.717,0.8827
294,1.493169,1.0,0.99972,1.589199,0.759,0.8788
295,1.4883347,1.0,0.99996,1.5838256,0.731,0.8811
296,1.4842995,1.0,0.99994,1.579498,0.811,0.885
297,1.4934397,1.0,0.9999,1.5886618,0.772,0.8826
298,1.4870327,1.0,0.9999,1.5820686,0.761,0.8806
299,1.4911456,1.0,0.99962,1.5879253,0.789,0.8763
